label,value
Bhumi Complex (BEST),"19.200702,72.821499"
Bhutta College (BEST),"19.108013,72.848443"
Bilal Pada (VVMT),"19.42946714,72.84645796"
Bimbisar Nagar (BEST),"19.146276,72.855822"
Birla Company (BEST),"19.136574,72.929656"
Birla Krida Kendra (BEST),"18.954336,72.814782"
Bishop School (BEST),"19.295163,72.851657"
Bkc Telephone Exchange (BEST),"19.071167,72.87264"
Blood Bank (BEST),"19.2743,72.861393"
Blossom Company (BEST),"19.117028,72.881569"
Bmc Commissioners Bungalow (BEST),"18.973224,72.811442"
Bmc Ward Office (BEST),"19.031633,72.85445"
Boidapada (VVMT),"19.4020307,72.85583859"
Boidapada Naka (VVMT),"19.40585935,72.85547393"
Boisar (Local-WR),"19.80036668,72.76270416"
Bolinj Naka (VVMT),"19.44455661,72.79420315"
Bombay Dyeing (BEST),"19.006285,72.82963"
Borivali  (West) (Metro),"19.24937877,72.84566812"
Borivali (E) Station (BEST),"19.229354,72.85752"
Borivali (Local-WR),"19.22655766,72.85665684"
Borivali (W) Bus Station (BEST),"19.231675,72.856882"
Borivali (W) Station (BEST),"19.229624,72.856436"
Borivali (W)Station (Jaya Talkies) (BEST),"19.227826,72.855705"
Borivali Jail (W) (BEST),"19.224447,72.854271"
"Borivali Market (E), Carter Road (BEST)","19.229455,72.860174"
Borivali Phatak (E) (BEST),"19.23388,72.858041"
Borivali Phatak (W) (BEST),"19.234196,72.857194"
Borivali Station (E) (BEST),"19.230665,72.858737"
Borivali Telephone Exchange (BEST),"19.231802,72.856216"
Borosil Glass Factory (BEST),"19.117471,72.883317"
Bpcl Sports Club (BEST),"19.027884,72.896002"
Bradbury Mill (BEST),"18.977401,72.827136"
Brahmand Azad Nagar (BEST),"19.239463,72.980637"
Brahmand Phase-3 (BEST),"19.241153,72.981521"
Brahmand Phase-5 (BEST),"19.244856,72.983481"
Brahmand Phase-6 (BEST),"19.246573,72.984689"
"Brahmand, Azad Nagar Bus Station (BEST)","19.247648,72.986021"
"Bramhala Talao, Manorpada (BEST)","19.202641,72.976362"
Bramhand Nagar (VVMT),"19.24139923,72.97568481"
Breach Candy Hospital (BEST),"18.972252,72.804948"
Brimco (BEST),"19.207587,72.822996"
Buddha Nagar (Kurla-W) (BEST),"19.073456,72.880326"
Buddhavihar (Malvani) (BEST),"19.19506667,72.82591667"
Building No.1 & 2 (Samata Nagar) (BEST),"19.20582698,72.868037"
Building No.5-N.G.Park (BEST),"19.243137,72.870067"
Busa Udhyog Bhavan (BEST),"18.999677,72.850786"
Byculla (Local-CR),"18.97662482,72.83275403"
Byculla Station (E) (BEST),"18.974469,72.833747"
"Byculla Station (East), Gloria Church (BEST)","18.97559,72.834668"
Byculla Station (W) (BEST),"18.977269,72.832169"
C.A.Institute (Bkc) (BEST),"19.061534,72.86875"
C.B.D. Belapur Bus Station (BEST),"19.025095,73.041613"
"C.B.D.Belapur, Konkan Bhavan (BEST)","19.024337,73.040871"
C.B.I.Quarters (Ghatkopar-E) (BEST),"19.081751,72.910824"
C.C.I.Colony (Goregaon-W) (BEST),"19.16307,72.840088"
C.G.S.Colony (Bhandup-E) (BEST),"19.142004,72.938429"
C.G.S.Dispensary (BEST),"19.029803,72.862991"
C.K.P.Colony (BEST),"19.232302,72.846743"
Cadbory (VVMT),"19.20432758,72.96868247"
Cadbury Junction (Thane) (BEST),"19.203934,72.968546"
Cafe Paradise (BEST),"18.961783,72.830766"
Calico Chemicals (BEST),"19.022148,72.897904"
Canara Bank (BEST),"19.058874,72.860761"
Canara Bank (Kharghar) (BEST),"19.035446,73.064103"
Canossa School (Andheri-E) (BEST),"19.125169,72.865264"
Canteen Stores (BEST),"18.981619,72.853685"
Canteen Stores Department (BEST),"18.9817,72.853656"
"Cardinal Gracias School, Teacher S Colony (BEST)","19.067746,72.846484"
Cardinal Gracious Hospital (VVMT),"19.3642115,72.80521285"
Carnac Bunder (BEST),"18.949946,72.840916"
"Catering College, Suryavanshi Hall (BEST)","19.023146,72.834546"
C-Cross Road (Seepz ) (BEST),"19.122814,72.872118"
C-Cross Road (Seepz) Junction (BEST),"19.122895,72.871244"
Ceat Company (BEST),"19.154878,72.943409"
Central Cinema (BEST),"18.954565,72.818314"
Central Dairy (Aarey Colony) (BEST),"19.154211,72.878975"
Central Dairy Tabela  (Aarey Colony) (BEST),"19.15701667,72.88291667"
Central Labour Institute (BEST),"19.049102,72.86584"
Central Park (Metro),"19.02069566,73.03993168"
Central Park Phata (VVMT),"19.42512997,72.81848662"
Central Railway Goods (BEST),"18.960617,72.843567"
Century Mill (BEST),"19.006346,72.826315"
Chainani Elder S Home (BEST),"19.166687,72.963648"
Chaitanya Hospital (BEST),"19.290138,72.863562"
"Chaityabhumi, Bhagoji Keer Cremetori (BEST)","19.025107,72.835571"
Chakala  (J.B. Nagar) (Metro),"19.110113,72.874117"
Chakala (BEST),"19.113195,72.858951"
Chakala (Satamwadi) (BEST),"19.11147,72.859902"
Chakala Cigarette Factory (BEST),"19.107468,72.85886"
Chakala Market (BEST),"18.950222,72.834506"
Chalpeth Naka (VVMT),"19.45591881,72.77617482"
Chandan Cinema (BEST),"19.11439097,72.82700297"
Chandan Nagar (VVMT),"19.41514011,72.82426722"
Chandan Nagar(Syndicate Bank) (VVMT),"19.41502637,72.82451954"
Chandansar (VVMT),"19.47415452,72.82924328"
Chandansar Naka (VVMT),"19.47452884,72.82920215"
Chandeep School (VVMT),"19.47385721,72.91537533"
Chandivali Junction (BEST),"19.111682,72.888329"
"Chandivali Studio, Petrol Pump (BEST)","19.114603,72.895769"
Chandivali Village (BEST),"19.114225,72.898839"
Chandrapada School (VVMT),"19.35942072,72.87788708"
Chandrika Mata Mandir (VVMT),"19.36036208,72.88018305"
"Chandvali Studio, Petrol Pump (BEST)","19.114513,72.897043"
Char Nal (BEST),"18.958354,72.836684"
Charat Singh Colony (BEST),"19.11122,72.864512"
Charkop Ekdant Society (BEST),"19.217983,72.820267"
Charkop Naka (BEST),"19.209502,72.822652"
Charkop Police Station (BEST),"19.214487,72.820898"
Charkop Sector 2 (BEST),"19.215538,72.824435"
Charkop Sector 5 (BEST),"19.215457,72.825852"
Charkop Sector 6 (BEST),"19.216656,72.833953"
Charkop Sector 8 (BEST),"19.21494104,72.81305901"
"Charkop Sector 9, Akshara Vidyalaya (BEST)","19.219735,72.819486"
Charkop Village (BEST),"19.208715,72.821017"
Charni Road (Local-WR),"18.95174942,72.81881404"
Charni Road Railway Station (BEST),"18.950917,72.821099"
Check Post (BEST),"19.209651,72.899165"
"Check Post No.2, Marol Police Camp (BEST)","19.123911,72.879988"
Cheeta Camp (BEST),"19.038429,72.944712"
Chembur (Local-Habr),"19.0623648,72.901708"
Chembur (Mono),"19.06123,72.897469"
Chembur Colony (BEST),"19.044515,72.89325"
"Chembur Level Crossing, Shell Bridge (BEST)","19.06357,72.897641"
"Chembur Naka, Swami Vivekanand Chowk (BEST)","19.053947,72.893446"
Chembur Phatak (BEST),"19.064646,72.899589"
Chena Bridge (BEST),"19.275703,72.916151"
Chetana College (BEST),"19.060701,72.848579"
Chhatrapati Shivaji International Airport (Sahar) (BEST),"19.100664,72.87463"
Chhatrapati Shivaji Maharaj Terminus (BEST),"18.938468,72.834696"
